input_question,answer,max_similarity
화상연고도 처방이 되나요?,저희 병원에서 사용되는 의약품은 아래층에 행복 약국에서 구매가 가능합니다.,0.7136201858520508
오늘 두시 삼십분에 예약했어요. 언제 들어가나요?,어서 오십시오. 성함과 연락처를 앞에 적어주시면 확인 후 접수 도와드리겠습니다.,0.8423981070518494
예약한 시간보다 조금 늦었어요. 다시 접수해야 하나요?,대기하시기 전에 접수증 작성 부탁드립니다.,0.8578561544418335
"피가 계속 나는데, 저 죽는 걸까요?",긴급상황이라면 응급실로 이동하셔서 진료 보실 수 있습니다. 응급실 건물로 가주시면 됩니다.,0.8302217721939087
접수 재등록해도 되나요?,마감 정산이 필요하여 지금 수납해 주시면 원활한 처리가 가능합니다.,0.7772091031074524
오래된 상처 흉터도 없어질까요?,미용 목적의 수술의 경우 진단서 발급이 따로 어렵습니다.,0.6447095274925232
여기 한의원도 같이 하나요? 침을 맡고 싶어요.,정수기는 진료 대기실 앞쪽에 있습니다. 감사합니다.,0.7200495600700378
목 디스크 때문에 잠을 잘 수 없어요. 어떤 치료를 받을 수 있나요?,진료는 진료실에서 전문가와 함께 상담 부탁드립니다.,0.8337278962135315
"탈모 초기 인 것 같아요. 머리카락이 자꾸 빠지는데, 이것도 진료를 볼 수 있나요?",체온 측정을 데스크에서 도와드리겠습니다. 데스크로 이동해 주시기 바랍니다.,0.8271939754486084
"저는 아니고, 제 아이가 열이 자꾸 오르다 말다 해요. 소아과도 진료 하나요?",평범한 감기일 수도 있으니까 너무 걱정 마십시오. 열이 나는 것 이외에 증상 있으십니까?,0.7689457535743713
"이번주에 결혼식이라 몸살이 빨리 나아야 하는데, 비타민 주사 같은거 맞을 수 있나요?",예약 가능 시간을 조회 중입니다. 대기해 주시기 바랍니다.,0.7961770296096802
 도대체 대기실이 어디에요? 어디로 가라는거에요?,대기실 안내를 시작하겠습니다. 직접 안내해 드리겠습니다.,0.8179610371589661
 저는 몇 번 째에 들어가나요? 진료예약을 아까전에 했는데요.,예약시간 10분이 넘어가면 자동 예약 취소됩니다. 현장 접수하시고 대기해 주시길 바랍니다.,0.7955758571624756
대기시간이 얼마나 남은거죠?,대기인원이 있어 정확한 대기 시간을 말씀드리기 어렵습니다. 이쪽 대기실에 앉아 주십시오.,0.7682669162750244
진료실이 저기로 가면 되나요? 어느 방향이에요?,진료실은 지하 2층에 있습니다. 왼쪽에 있는 엘리베이터를 이용하실 수 있습니다.,0.8864871859550476
"저 다음대기순번인데, 전화만 받고 들어가도 되나요? 미룰 수 있나요?",죄송합니다. 현재는 예약 손님 우선 진료 중이오니 조금만 기다려 주세요.,0.7860380411148071
약국이 어디로 가야 하나요?,병원 앞에서 버스를 타셔야 합니다. 아무 버스나 탑승하신 다음 한 정거장 뒤에 내리시면 됩니다.,0.9154210090637207
오늘 수면제가 나왔는데 여기 아래 약국에서 처방이 되나요?,근방 약국이 네 개 정도 있습니다. 우측 또는 좌측으로 걸어가 보시면 됩니다.,0.7975491285324097
지금 당장 약국은 못 갈 거 같아서 다른 약국을 가도 되나요?,강남역 근처에 있는 평화 약국이 야간까지 운영합니다.,0.8504456281661987
아래 약국 말고 다른 약국은 어디에 있어요?,본원 1km 근방 GS칼텍스 주유소 옆에 희망 약국이 있습니다.,0.9479363560676575
말 한 곳에 약국이 없는데요?,건물 밖으로 나가시면 바로 보이는 버스 정류장 옆에 약국이 있습니다.,0.8148558139801025
"어제 카드 결제 했는데, 취소하고 다른 카드로 결제하고 싶어요.",네. 결제하신 카드를 다시 넣어주시면 취소 후 다시 결제 도와드리겠습니다.,0.8378034830093384
수납한거에 보험료 적용이 된건가요?,상처 봉합하신 것은 간단한 수술이어서 진료비만 같이 포함되어 있습니다.,0.7765700221061707
현금 수납 할 수 있나요? 오늘 카드를 안가져 왔어요.,수납 키오스크에서 회원카드 없이도 수납이 가능합니다. 키오스크에 수납 버튼을 누르고 고객님의 생년월일을 입력해 주십시오.,0.8449199795722961
"계산하고, 진료비 영수증을 받을 수 있나요?",원무과 직원에게 성함을 말씀해 주시면 발급이 가능합니다.,0.8587020635604858
