question,predicted_label,best_answer,cosine_similarity
화상연고도 처방이 되나요?,0,우측 복도 끝에 위치해 있습니다. 심리평가실까지 안내해 드리겠습니다.,0.9993496537208557
오늘 두시 삼십분에 예약했어요. 언제 들어가나요?,1,긴급상황이라면 응급실로 이동하셔서 진료 보실 수 있습니다. 응급실 건물로 가주시면 됩니다.,1.0
예약한 시간보다 조금 늦었어요. 다시 접수해야 하나요?,1,반갑습니다. 1층 통합 창구에서 번호표를 뽑고 기다려 주시면 안내 도와드리겠습니다.,1.000000238418579
"피가 계속 나는데, 저 죽는 걸까요?",1,1층 창구에서 진료 접수를 할 수 있습니다. 저를 따라오시면 안내해 드리겠습니다.,1.000000238418579
접수 재등록해도 되나요?,1,현재 고객님 앞의 대기자가 0명이기 때문에 즉시 진료 보실 수 있습니다.,1.000000238418579
오래된 상처 흉터도 없어질까요?,5,정밀 검사 후에 감마 상태를 보고 결정될 것 같습니다.,1.000000238418579
여기 한의원도 같이 하나요? 침을 맡고 싶어요.,1,맞습니다. 증상 상담 시 자세한 증상을 알려주시길 부탁드립니다.,0.9999999403953552
목 디스크 때문에 잠을 잘 수 없어요. 어떤 치료를 받을 수 있나요?,5,상담 접수를 진행하였습니다. 접수 완료 문자를 등록된 번호로 전송합니다.,1.000000238418579
"탈모 초기 인 것 같아요. 머리카락이 자꾸 빠지는데, 이것도 진료를 볼 수 있나요?",5,의사선생님이 오시면 환자분의 증상에 대한 자세한 상담을 받으실 수 있습니다.,1.000000238418579
"저는 아니고, 제 아이가 열이 자꾸 오르다 말다 해요. 소아과도 진료 하나요?",5,상담 접수를 진행하였습니다. 접수 완료 문자를 등록된 번호로 전송합니다.,1.000000238418579
"이번주에 결혼식이라 몸살이 빨리 나아야 하는데, 비타민 주사 같은거 맞을 수 있나요?",5,잇몸 염증이 심하신 것 같습니다. 자세한 부분은 진료 후 말씀드리겠습니다.,1.000000238418579
 도대체 대기실이 어디에요? 어디로 가라는거에요?,0,엑스레이 촬영은 반대쪽 복도입니다. 제가 함께 가겠습니다. 저를 천천히 따라오세요.,1.0000001192092896
