question,label,predicted_label,best_answer,cosine_similarity
화상연고도 처방이 되나요?,1,0,진료실 옆 대기석에 등받이 있는 의자가 있습니다. 안내해 드리겠습니다.,0.6022566556930542
오늘 두시 삼십분에 예약했어요. 언제 들어가나요?,1,1,죄송합니다. 앞서 예약하신 손님이 있어서 예약시간대로 기다려주셔야 합니다.,0.9939724802970886
예약한 시간보다 조금 늦었어요. 다시 접수해야 하나요?,1,1,앞선 예약이 없어서 가능합니다. 예약시간 한 시간 미뤄 드리겠습니다.,0.9734110832214355
"피가 계속 나는데, 저 죽는 걸까요?",1,5,피부 사정에 따라 달라서 말씀드리기 어렵습니다. 증상은 사람마다 다릅니다.,0.9946928024291992
접수 재등록해도 되나요?,1,1,제가 안내해 드리겠습니다. 이쪽으로 따라오시면 됩니다.,0.9891122579574585
접수 시간이 지났는데 혹시 대기순번이 넘어갔나요?,1,1,확인을 도와드리겠습니다. 합의된 상황인지 확인이 필요합니다.,0.9806791543960571
접수가 왜이렇게 오래 걸려요?,1,1,앞에 보이는 접수증을 작성해 주시길 부탁드립니다.,0.9887775182723999
"다음에 들어가는 순번인데, 잠깐 화장실 다녀와도 되나요?",1,0,다녀오신 후 대기석에 앉아 잠시 대기해 주시기 바랍니다.,0.99421626329422
접수하려고요.,1,1,현재 30분 정도 대기하셔야 합니다. 진료 접수 도와드리도록 하겠습니다.,0.9691038727760315
진료 접수 어떻게 하죠?,1,1,바로 도와드리겠습니다. 옆쪽 통로를 통해 접수창구로 가시면 됩니다.,0.9942976832389832
오래된 상처 흉터도 없어질까요?,5,5,잠시만 기다려 주십시오. 우선적으로 내과를 접수하시면 되겠습니다.,0.9971160292625427
여기 한의원도 같이 하나요? 침을 맡고 싶어요.,5,0,수액 클리닉 실은 복도 끝에 있습니다. 수액 클리닉 실로같이 동행하겠습니다.,0.7327606678009033
목 디스크 때문에 잠을 잘 수 없어요. 어떤 치료를 받을 수 있나요?,5,5,"흉부외과를 먼저 진료 보신 후, 담당 의사 선생님과 자세히 상담하시길 추천드립니다.",0.9987382292747498
"탈모 초기 인 것 같아요. 머리카락이 자꾸 빠지는데, 이것도 진료를 볼 수 있나요?",5,5,검사 접수 도와드리겠습니다. 지금 드리는 문진표를 작성해 주십시오.,0.9935638308525085
"저는 아니고, 제 아이가 열이 자꾸 오르다 말다 해요. 소아과도 진료 하나요?",5,5,평범한 감기일 수도 있으니까 너무 걱정 마십시오. 열이 나는 것 이외에 증상 있으십니까?,0.994799017906189
"이번주에 결혼식이라 몸살이 빨리 나아야 하는데, 비타민 주사 같은거 맞을 수 있나요?",5,5,증상 기록을 시작합니다. 옆에 체온계에서 체온을 측정해 말씀해 주시기 바랍니다.,0.9686847925186157
어제부터 배가 아프고 열도 계속 나는 거 같아요.,5,5,잇몸 염증이 심하신 것 같습니다. 자세한 부분은 진료 후 말씀드리겠습니다.,0.9996012449264526
목소리가 안나와요.,5,5,확인해 드리겠습니다. 현재 증상으로는 정형외과 진료를 접수해야 할 거 같습니다.,0.9572938084602356
지난주부터 몸살기가 있었어요.,5,5,총 5회의 물리치료가 예정되어 있습니다. 치료를 더 받아야 증상이 호전될 겁니다.,0.9970658421516418
"장염 나은지 얼마 안됐는데, 또 걸린거 같아요.",5,5,기관지염의 경우 심해지면 증상이 겹치거나 복합적으로 발생할 수 있습니다.,0.9963005185127258
"아이가 넘어져서 팔꿈치가 까졌는데, 진물이 계속 나요.",5,5,코피부터 멎고 진료를 볼 수 있을 것 같습니다. 지혈부터 처리하도록 하겠습니다.,0.9993889331817627
 도대체 대기실이 어디에요? 어디로 가라는거에요?,0,0,앞 진료 환자분 곧 나오실 겁니다. 진료실 앞에서 기다리시는 걸 권장 드립니다.,0.9997473359107971
 저는 몇 번 째에 들어가나요? 진료예약을 아까전에 했는데요.,0,0,"좌측에 보시면 정수기가 있는데, 그 사잇길로 들어가시면 됩니다.",0.9120402336120605
대기시간이 얼마나 남은거죠?,0,0,대기 인원이 있어 정확한 대기 시간을 말씀드리기 어렵습니다. 이쪽 대기실에 앉아 주십시오.,0.9779964685440063
진료실이 저기로 가면 되나요? 어느 방향이에요?,0,0,진료실은 지하 2층에 있습니다. 왼쪽에 있는 엘리베이터를 이용하실 수 있습니다.,0.9996963739395142
"저 다음대기순번인데, 전화만 받고 들어가도 되나요? 미룰 수 있나요?",0,0,이쪽에서 왼쪽 바로 앞에 보이시는 대기실에서 대기해 주시면 감사하겠습니다.,0.7831494808197021
대기실로 안내해주세요.,0,0,저를 따라오시기 바랍니다. 입원 대기실로 안내해 드리겠습니다.,0.9995906949043274
진료실 옆에 대기실이 있나요?,0,0,복도를 지나면 바로 보입니다. 대기실까지 안내해 드리겠습니다.,0.9998418092727661
진료실이 1층인가요?,0,0,2층으로 가주시면 됩니다. 진료실로 들어가실 순서가 되시면 호명해 드립니다.,0.9996339678764343
"대기실에서 기다리라고 했는데, 어디서 기다려요?",0,0,청력검사 대기실은 왼쪽 복도로 직진하시면 위치해 있습니다.,0.9996805787086487
대기실이랑 진료실이랑 방향이 다른가요?,0,0,2층으로 가주시면 됩니다. 진료실로 들어가실 순서가 되시면 호명해 드립니다.,0.9994562268257141
약국이 어디로 가야 하나요?,4,4,"원내 약국은 1층 입구 왼쪽에 있고, 병원 밖으로 나가시면 오른쪽에 바로 약국이 있습니다.",0.9995386600494385
오늘 수면제가 나왔는데 여기 아래 약국에서 처방이 되나요?,4,4,약국은 상관없습니다. 병원 건물에 있는 약국이 가장 가까우니 참고하시기 바랍니다.,0.9988629817962646
지금 당장 약국은 못 갈 거 같아서 다른 약국을 가도 되나요?,4,4,약국마다 취급하는 약의 종류가 다릅니다. 참고하십시오.,0.9993102550506592
