question,label,predicted_label,best_answer,cosine_similarity
화상연고도 처방이 되나요?,4,6,사람이 없는 주사실로 임시 대기를 해주시길 부탁드립니다.,0.7708452939987183
오늘 두시 삼십분에 예약했어요. 언제 들어가나요?,4,4,앞선 예약이 없어서 가능합니다. 예약 시간 한 시간 미뤄 드리겠습니다.,0.9838832020759583
예약한 시간보다 조금 늦었어요. 다시 접수해야 하나요?,4,4,앞선 예약이 없어서 가능합니다. 예약시간 한 시간 미뤄 드리겠습니다.,0.9905162453651428
"피가 계속 나는데, 저 죽는 걸까요?",4,2,2층에 있는 검사실에서 알레르기 검사를 받을 수 있습니다.,0.9550607800483704
접수 재등록해도 되나요?,4,4,예약했어도 접수를 해 주셔야 합니다. 앞에 있는 접수증을 작성해 주시길 부탁드립니다.,0.9954723119735718
접수 시간이 지났는데 혹시 대기순번이 넘어갔나요?,4,4,네 접수처 직원에게 제출해 주시면 됩니다.,0.9965804815292358
접수가 왜이렇게 오래 걸려요?,4,4,고객님 기다리게 해서 죄송합니다. 빠른 접수 도와드리겠습니다. 접수할 항목을 말씀해 주십시오.,0.9873592257499695
"다음에 들어가는 순번인데, 잠깐 화장실 다녀와도 되나요?",4,6,다음 진료실은 2층입니다. 현재 대기시간 5분 예상됩니다.,0.9589915871620178
접수하려고요.,4,4,네 처음 오셨으면 종이에 적어 주시고 재진이시면 성함만 불러주세요.,0.9864667654037476
진료 접수 어떻게 하죠?,4,4,바로 도와드리겠습니다. 옆쪽 통로를 통해 접수창구로 가시면 됩니다.,0.9950870871543884
오래된 상처 흉터도 없어질까요?,2,2,잠시만 기다려 주십시오. 신경외과로 접수를 하시면 됩니다.,0.9969293475151062
여기 한의원도 같이 하나요? 침을 맡고 싶어요.,2,4,1층 입구에서 왼쪽으로 가시면 진료 접수처가 있는 곳에서 접수가 가능합니다.,0.7016069889068604
목 디스크 때문에 잠을 잘 수 없어요. 어떤 치료를 받을 수 있나요?,2,2,사고 당시 부상 부위를 중점으로 진료 후 자세한 검사 일정을 안내해 드리겠습니다.,0.9986849427223206
"탈모 초기 인 것 같아요. 머리카락이 자꾸 빠지는데, 이것도 진료를 볼 수 있나요?",2,2,잠시 기다려 주시면 우선 체온 측정을 도와드리겠습니다.,0.996727705001831
"저는 아니고, 제 아이가 열이 자꾸 오르다 말다 해요. 소아과도 진료 하나요?",2,2,피부 사정에 따라 다 달라서 말씀드리기 어렵습니다. 증상은 사람마다 다릅니다.,0.9918464422225952
"이번주에 결혼식이라 몸살이 빨리 나아야 하는데, 비타민 주사 같은거 맞을 수 있나요?",2,2,일반 정진 접수하시면 의료진이 직접 전반적인 치아 상태를 검사할 예정입니다.,0.9886067509651184
어제부터 배가 아프고 열도 계속 나는 거 같아요.,2,2,네 증상 접수되었습니다. 최대한 빨리 진료 도와드릴 테니 잠시만 기다려 주십시오.,0.9994981288909912
목소리가 안나와요.,2,2,환자분의 통증을 1부터 10까지의 숫자로 표현해 주십시오. 수가 클수록 통증이 강한 것입니다.,0.948186457157135
지난주부터 몸살기가 있었어요.,2,2,네 의사선생님께 전달해 두도록 하겠습니다. 다른 증상이 있으시면 더 말씀해 주십시오.,0.9932994842529297
"장염 나은지 얼마 안됐는데, 또 걸린거 같아요.",2,2,코로나19는 일반 감기와 증상이 비슷해 검사 전에는 감염 여부를 확인하기 어렵습니다.,0.9951952695846558
"아이가 넘어져서 팔꿈치가 까졌는데, 진물이 계속 나요.",2,2,충치 위주로 봐드리도록 전달하겠습니다. 대기실에서 대기해 주십시오.,0.9976738691329956
 도대체 대기실이 어디에요? 어디로 가라는거에요?,6,6,네 진료실 앞 의자에서 대기해 주시면 됩니다.,0.9987314343452454
 저는 몇 번 째에 들어가나요? 진료예약을 아까전에 했는데요.,6,6,수액 클리닉 실은 복도 끝에 있습니다. 수액 클리닉 실로같이 동행하겠습니다.,0.7198308110237122
대기시간이 얼마나 남은거죠?,6,6,진찰을 받은 다음 약을 처방받으셔야 합니다. 1층 대기실에서 대기해 주시길 부탁드립니다.,0.882603645324707
진료실이 저기로 가면 되나요? 어느 방향이에요?,6,6,진료실은 지하 2층에 있습니다. 왼쪽에 있는 엘리베이터를 이용하실 수 있습니다.,0.9993017911911011
"저 다음대기순번인데, 전화만 받고 들어가도 되나요? 미룰 수 있나요?",6,0,저희 병원은 야간 진료를 하고 있지 않습니다. 오후 여섯 시 이전 시간대로 예약 부탁드립니다.,0.7746870517730713
대기실로 안내해주세요.,6,6,청력검사 대기실은 왼쪽 복도로 직진하시면 위치해 있습니다.,0.9980614185333252
진료실 옆에 대기실이 있나요?,6,6,복도를 지나고 보면 바로 보입니다. 대기실까지 안내해 드리겠습니다.,0.9997661113739014
진료실이 1층인가요?,6,6,복도를 지나면 바로 보입니다. 대기실까지 안내해 드리겠습니다.,0.9994192719459534
"대기실에서 기다리라고 했는데, 어디서 기다려요?",6,6,대기실은 접수실 문을 열고 나가신 다음 우측에 있습니다. 이용 감사합니다.,0.9988973140716553
대기실이랑 진료실이랑 방향이 다른가요?,6,6,2층으로 가주시면 됩니다. 진료실로 들어가실 순서가 되시면 호명해 드립니다.,0.9983868598937988
약국이 어디로 가야 하나요?,1,1,"원내 약국은 1층 입구 왼쪽에 있고, 병원 밖으로 나가시면 오른쪽에 바로 약국이 있습니다.",0.999840259552002
오늘 수면제가 나왔는데 여기 아래 약국에서 처방이 되나요?,1,1,병원 정문으로 나가신 후에 우측에 약국이 있습니다.,0.9994831681251526
지금 당장 약국은 못 갈 거 같아서 다른 약국을 가도 되나요?,1,1,"죄송하지만, 병원 건물 안에는 약국이 없습니다.",0.9997052550315857
아래 약국 말고 다른 약국은 어디에 있어요?,1,1,건물 밖 왼쪽으로 직진하시어 사거리로 나가시면 약국이 있습니다.,0.9998555779457092
말 한 곳에 약국이 없는데요?,1,1,가장 가까운 약국은 건물 나가셔서 왼쪽으로 쭉 걸어가시다 보면 나오는 신호등 앞 건물 지하 1층에 있습니다.,0.9998248815536499
약국 어떻게 가요?,1,1,죄송합니다. 말씀을 잘 알아듣지 못했습니다.,0.9998154044151306
약국이 몇층에 있죠?,1,1,역방향으로 30M 걸어가시면 약국이 한 개 있습니다. 현재 영업 중입니다.,0.9998263120651245
근처 약국 어디가 있는지 알려주세요.,1,1,"약국은 총 네 개가 있으며, 모두 영업 중입니다. 병원 3층에 한 개 있습니다.",0.9997962117195129
약국까지 데려다 주세요.,1,1,현행법상 약을 대신 처방 받아들일 수는 없습니다. 양해 부탁드립니다.,0.9993804693222046
약국 까지 오래걸리나요? 너무 힘든데,1,1,약국은 병원 정문으로 나가셔서 바로 맞은편 건물에 있습니다.,0.9996472001075745
현금 수납 할 수 있나요? 오늘 카드를 안가져 왔어요.,3,3,불편을 드려서 죄송합니다. 즉시 도움을 요청하도록 하겠습니다.,0.9986724257469177
"어제 카드 결제 했는데, 취소하고 다른 카드로 결제하고 싶어요.",3,3,"카드, 현금, 모바일 결제 서비스 모두 가능합니다.",0.9974732398986816
"계산하고, 진료비 영수증을 받을 수 있나요?",3,5,김수현 님 수납하신 내역에 대한 진료비 영수증을 출력합니다.,0.9946712255477905
수납한거에 보험료 적용이 된건가요?,3,3,"오늘 검사 두 가지 진행하셔서 총 108,500원 나왔습니다. 카드로 결제 도와드리겠습니다.",0.9969722032546997
지역화폐로 결제 되나요? 안되면 카드로 할게요.,3,3,지역 화폐 카드는 사용이 불가합니다. 다른 카드나 현금으로 결제해 주세요.,0.9970239400863647
카드로 결제할게요.,3,3,요청하신 사항을 인식하지 못했습니다. 다시 한번 말씀해 주세요.,0.9994052648544312
이만원은 현금 결제하고 나머지 카드로 할게요.,3,3,기계로는 현금결제가 어려우십니다. 카드 결제만 가능합니다.,0.9977694749832153
카드 결제 한 거 할부로 다시 결제하고 싶어요.,3,3,"수납을 하실 때는 현금, 카드, 계좌이체만 가능합니다. 현금창구는 별도로 있습니다.",0.9974499940872192
결제 해주세요.,3,3,"진료비 3,800원 결제해 드리겠습니다. 결제 완료되었습니다. 감사합니다.",0.9960415363311768
결제 어떻게 해요? 카드 리더기가 어디있어요?,3,3,삼성 페이도 신용카드와 동일하게 결제 가능합니다. 카드 투입구에 핸드폰을 올려 주십시오.,0.9958041906356812
무인 발급기가 어디있는지 모르겠어요.,5,5,무인 발급기 위치 및 병원 안내도는 1층 창구 옆에 비치되어 있습니다.,0.9919856786727905
보험사에 어떤 서류를 제출해야 하죠?,5,5,확인해 보겠습니다. 의사 소견서와 처방전 사본을 각각 발부해 드리겠습니다.,0.9991401433944702
영수증 추가로 한 장 떼 주시구요. 팩스로 바로 보내주세요.,5,5,카드 영수증 제출을 위함이라면 영수증을 드릴 수 있습니다.,0.9979760646820068
"소견서 발급해주신다고 했는데, 아직인가요?",5,5,"발급 원하시는 서류를 말씀해 주시면, 진료 기록 조회 후 말씀하신 서류를 제공해 드리고 있습니다.",0.9988558888435364
"지난번에 현금영수증 신청을 안 한게 있는데, 지금 신청 할 수 있나요?",5,3,현금영수증 번호를 알려주시면 처리 도와드리겠습니다.,0.977165699005127
환자용 처방전 하나 더 프린트 해주세요.,5,5,네 알겠습니다. 잠시만 기다려 주세요.,0.975778341293335
"실비보험 신청하려고 하는데, 진료비계산서 뽑아주세요.",5,5,진료비 세부내역서 발급은 1층 접수처 옆에 키오스크에서 가능합니다.,0.9947856068611145
회사에 낼 증빙서류 좀 뽑아주세요.,5,5,죄송합니다. 고객님의 말을 이해하기 어렵습니다. 다시 말해 주시겠습니까?,0.9993614554405212
처방전에 감기 증상으로 내원이라고 적어주세요.,5,2,많은 환자분들이 우울증 때문에 저희 병원을 방문합니다. 자세한 진료는 담당임님과 진행하시면 됩니다.,0.9926671981811523
소견서 어떻게 발급하죠?,5,5,"의사 소견서는 10,000원의 추가 비용이 발생합니다. 출력까지 5분 정도 소요됩니다.",0.999325692653656
다음 예약 안 할게요.,0,0,이용해 주셔서 감사합니다. 다음번에도 최선을 다해 도와드리겠습니다.,0.9994211196899414
다음번 예약시간은 나중에 다시 정할게요.,0,0,15일 오후 세시는 이미 예약이 차있습니다. 두시 혹은 네시는 가능합니다.,0.999606192111969
이번주 금요일로 다음예약 잡아주세요.,0,0,예약 가능 여부를 확인해 보겠습니다. 잠시만 기다려주십시오.,0.9987156987190247
"붕대 풀러 와야 하는데, 다음주 월요일 예약 될까요?",0,0,죄송하지만 접수 마감시간인 6시 30분 까지는 방문해 주셔야 합니다.,0.9994015693664551
인터넷으로 미리 다음번 예약을 할 수 있나요?,0,0,"다음 주 목요일은 네시, 4시 30분, 여섯시에 예약 가능하십니다.",0.9997059106826782
다음 예약을 안해서 예약 하려고요.,0,0,금요일은 오후 세시 이후부터 예약 가능하십니다. 예약 원하시는 시간대를 말씀해 주시기 바랍니다.,0.9994739890098572
여기서 다음 진료 예약하면 되나요?,0,0,수술 경과 확인 목적의 진료 예약은 환자분이 퇴원하실 시에 하시면 됩니다.,0.9995501041412354
다음 진료 예약하려고 하는데요.,0,0,금요일은 오후 세시 이후부터 예약 가능하십니다. 예약 원하시는 시간대를 말씀해 주시기 바랍니다.,0.9993383288383484
다음주에 예약 시간 되는 날짜를 알려주세요.,0,0,다음 주 화요일부터 목요일까지 여름휴가로 진료가 없을 예정입니다.,0.9996068477630615
"원래 다음주에 예약을 했는데, 날짜를 옮기려고요.",0,0,네 가능하신 날짜를 말씀해 주시면 예약 변경 도와드리겠습니다.,0.9965972900390625
